id_jp,title_jp,author_id_jp,publish_date_jp,original_lang_id_jp
1,銀河英雄伝説 1 黎明篇,90,1982-11-01,15
2,竜馬がゆく 一,91,1963-01-01,15
3,図書館戦争シリーズ,92,2006-02-01,15
4,鬼平犯科帳,93,2000-01-01,15
5,坂の上の雲 一,91,1999-01-01,15
6,下町ロケットシリーズ,94,2015-10-18,15
7,アルスラーン戦記,90,1986-08-01,15
8,守り人シリーズ,95,1996-07-01,15
9,沈まぬ太陽,96,1999-06-01,15
10,金田一耕助ファイル,97,1959-01-01,15
11,君の膵臓をたべたい,98,2014-01-01,15
12,本好きの下剋上,99,2015-01-25,15
13,剣客商売,93,1985-01-01,15
14,君の名は,100,2016-06-18,15
15,舟を編む,101,2011-09-17,15
16,64（ロクヨン）,102,2015-02-10,15
17,新世界より,103,2008-01-23,15
18,悪の教典,103,2010-07-29,15
19,のぼうの城,104,2007-11-28,15
20,ローマ人の物語,105,2002-06-01,15
21,幼女戦記,106,2013-10-31,15
22,蜘蛛ですが、なにか？,107,2015-12-10,15
23,池袋ウエストゲートパークシリーズ,108,1998-09-28,15
24,古典部シリーズ,109,2016-11-30,15
25,謎解きはディナーのあとで,110,2010-09-02,15
26,陸王,94,2016-01-01,15
27,蜜蜂と遠雷,111,2016-01-01,15
28,獣の奏者,95,2006-11-21,15
29,万能鑑定士Qの事件簿,112,2010-04-24,15
30,天地明察,113,2013-01-31,15
31,世界から猫が消えたなら,114,2012-08-30,15
32,心霊探偵八雲,115,2004-01-01,15
33,徳川家康,116,1987-10-08,15
34,わたしを離さないで,117,2005-04-05,15
35,神様の御用人,118,2013-12-25,15
36,空飛ぶタイヤ,94,2006-09-01,15
37,デスマーチからはじまる異世界狂想曲,119,2014-03-18,15
38,隠蔽捜査,120,2005-09-21,15
39,RDG レッドデータガール,121,2008-07-04,15
40,空飛ぶ広報室,92,2012-07-27,15
41,ビブリア古書堂の事件手帖,122,2011-03-25,15
42,ルーズヴェルト・ゲーム,94,2012-02-21,15
43,ダレン・シャン,123,2004-02-20,15
44,イニシエーション・ラブ,124,2004-03-01,15
45,居酒屋ぼったくり,125,2014-04-01,15
46,鹿の王,95,2017-06-25,15
47,コンビニ人間,126,2016-07-27,15
48,アナザーフェイス,127,2010-07-10,15
49,吸血鬼ハンターD,128,2007-12-31,15
50,妖怪アパートの幽雅な日常,129,2003-10-10,15
