Fold 1/5
Epoch: 01 | Time: 11m 11s
	Train Loss: 5.293 | Train Perplexity: 198.902
	Valid Loss: 5.163 | Valid Perplexity: 174.768
Epoch: 02 | Time: 11m 15s
	Train Loss: 5.134 | Train Perplexity: 169.627
	Valid Loss: 5.147 | Valid Perplexity: 171.999
Epoch: 03 | Time: 11m 16s
	Train Loss: 5.110 | Train Perplexity: 165.679
	Valid Loss: 5.130 | Valid Perplexity: 169.034
Epoch: 04 | Time: 11m 12s
	Train Loss: 5.094 | Train Perplexity: 163.101
	Valid Loss: 5.137 | Valid Perplexity: 170.281
Epoch: 05 | Time: 11m 0s
	Train Loss: 5.080 | Train Perplexity: 160.778
	Valid Loss: 5.119 | Valid Perplexity: 167.211
Epoch: 06 | Time: 11m 1s
	Train Loss: 5.072 | Train Perplexity: 159.469
	Valid Loss: 5.123 | Valid Perplexity: 167.812
Epoch: 07 | Time: 11m 0s
	Train Loss: 5.065 | Train Perplexity: 158.371
	Valid Loss: 5.113 | Valid Perplexity: 166.177
Epoch: 08 | Time: 11m 0s
	Train Loss: 5.059 | Train Perplexity: 157.468
	Valid Loss: 5.112 | Valid Perplexity: 165.950
Epoch: 09 | Time: 11m 0s
	Train Loss: 5.052 | Train Perplexity: 156.413
	Valid Loss: 5.112 | Valid Perplexity: 166.014
Epoch: 10 | Time: 10m 59s
	Train Loss: 5.048 | Train Perplexity: 155.680
	Valid Loss: 5.106 | Valid Perplexity: 165.033
Epoch: 11 | Time: 10m 57s
	Train Loss: 5.046 | Train Perplexity: 155.422
	Valid Loss: 5.112 | Valid Perplexity: 166.043
Epoch: 12 | Time: 10m 57s
	Train Loss: 5.040 | Train Perplexity: 154.514
	Valid Loss: 5.107 | Valid Perplexity: 165.155
Epoch: 13 | Time: 10m 56s
	Train Loss: 5.037 | Train Perplexity: 153.933
	Valid Loss: 5.101 | Valid Perplexity: 164.256
Epoch: 14 | Time: 10m 55s
	Train Loss: 5.029 | Train Perplexity: 152.734
	Valid Loss: 5.084 | Valid Perplexity: 161.470
Epoch: 15 | Time: 11m 0s
	Train Loss: 5.016 | Train Perplexity: 150.869
