author_id,first_name,last_name,translated_name,nationality,birth,death,num_books_written
1,Harper,Lee,ハーパー・リー,United States,1926-04-28,2016-02-19,2
2,J.K.,Rowling,J・K・ローリング,United Kingdom,1965-07-31,,18
3,F. Scott,Fitzgerald,F・スコット・フィッツジェラルド,United States,1896-09-24,1940-12-21,4
4,George,Orwell,ジョージ・オーウェル,United Kingdom,1903-06-25,1950-01-21,13
5,J.R.R.,Tolkien,J・R・R・トールキン,United Kingdom,1892-01-03,1973-09-02,17
6,Antoine,de Saint-Exupéry,アントワーヌ・ド・サン＝テグジュペリ,France,1900-06-29,1944-07-31,17
7,Ray,Bradbury,レイ・ブラッドベリ,United States,1920-08-22,2012-06-05,30
8,J.D.,Salinger,J・D・サリンジャー,United States,1919-01-01,2010-01-27,6
9,C.S.,Lewis,C・S・ルイス,United Kingdom,1898-11-29,1963-11-22,40
10,John,Steinbeck,ジョン・スタインベック,United States,1902-02-27,1968-12-20,33
11,Gabriel García,Márquez,ガブリエル・ガルシア＝マルケス,Columbia,1927-03-06,2014-04-17,27
12,Aldous,Huxley,オルダス・ハクスリー,United Kingdom,1894-07-26,1963-11-22,50
13,Margaret,Mitchell,マーガレット・ミッチェル,United States,1900-11-08,1949-08-16,1
14,Lois,Lowry,ロイス・ローリー,United States,1937-03-20,,50
15,William,Golding,ウィリアム・ゴールディング,United Kingdom,1911-09-19,1993-06-19,12
16,Kurt,Vonnegut,カート・ヴォネガット,United States,1922-11-11,2007-04-11,9
17,Vladimir,Nabokov,ウラジーミル・ナボコフ,"Russia, United States",1899-04-22,1977-07-02,10
18,Margaret,Atwood,マーガレット・アトウッド,Canada,1939-11-18,,18
19,Ken,Kesey,ケン・キージー,United States,1935-09-17,2001-11-10,10
20,Albert,Camus,アルベール・カミュ,France,1913-11-07,1960-01-04,8
21,Arthur,Golden,アーサー・ゴールデン,United States,1956-12-06,,1
22,Douglas,Adams,ダグラス・アダムズ,United Kingdom,1952-03-11,2001-05-11,7
23,E.B.,White,E・B・ホワイト,United States,1899-07-11,1985-10-01,17
24,Madeleine,L'Engle,マデレイン・レングル,United States,1918-11-29,2007-09-06,60
25,Ernest,Hemingway,アーネスト・ヘミングウェイ,United States,1899-07-21,1961-07-02,7
26,Orson Scott,Card,オースン・スコット・カード,United States,1951-08-24,,50
27,Shel,Silverstein,シェル・シルヴァスタイン,United States,1930-09-25,1999-05-10,7
28,Elie,Wiesel,エリ・ヴィーゼル,"Romania, United States",1928-09-30,2016-07-02,57
29,Sylvia,Plath,シルヴィア・プラス,United States,1932-10-27,1963-02-11,5
30,Betty,Smith,ベティ・スミス,United States,1896-12-15,1972-01-17,5
31,Richard,Adams,リチャード・アダムス,United Kingdom,1920-05-09,2016-12-24,19
32,Paulo,Coelho,パウロ・コエーリョ,Brazil,1947-08-24,,17
33,L.M.,Montgomery,L・M・モンゴメリ,Canada,1874-11-30,1942-04-24,20
34,Truman,Capote,トルーマン・カポーティ,United States,1924-09-30,1984-08-25,5
35,Dr.,Seuss,ドクター・スース,United States,1904-03-02,1991-09-24,60
36,Alice,Walker,アリス・ウォーカー,United States,1944-02-09,,17
37,Ayn,Rand,アイン・ランド,"Russia, United States",1905-02-02,1982-03-06,5
38,Franz,Kafka,フランツ・カフカ,Czech Republic,1883-07-03,1924-06-03,13
39,Barbara,Kingsolver,バーバラ・キングソルヴァー,United States,1955-04-08,,8
40,Frances,Hodgson Burnett,フランシス・ホジソン・バーネット,"United Kingdom, United States",1849-11-24,1924-10-29,3
41,Arthur Conan,Doyle,アーサー・コナン・ドイル,United Kingdom,1859-05-22,1930-07-07,300
42,Max,Horkheimer,マックス・ホルクハイマー,Germany,1895-02-14,1973-07-07,9
43,Alain,Fournier,アラン＝フルニエ,France,1886-10-03,1914-09-22,1
44,Robert,Antelme,ロベール・アンテルム,France,1917-01-05,1990-10-26,1
45,Guillaume,Apollinaire,ギヨーム・アポリネール,France,1880-08-26,1918-11-09,23
46,Louis,Aragon,ルイ・アラゴン,France,1897-10-03,1982-12-24,100
47,Hannah,Arendt,ハンナ・アーレント,"Germany, United States",1906-10-14,1975-12-04,30
48,Philippe,Ariès,フィリップ・アリエス,France,1914-07-21,1984-02-08,15
49,Antonin,Artaud,アントナン・アルトー,France,1896-09-04,1948-03-04,14
50,Isaac,Asimov,アイザック・アシモフ,United States,1920-01-02,1992-04-06,500
51,Amadou Hampâté,Bâ,アマドゥ・ハンパテ・バ,Mali,1901-01-01,1991-05-13,48
52,Roland,Barthes,ロラン・バルト,France,1951-11-12,1980-03-26,22
53,Georges,Bataille,ジョルジュ・バタイユ,France,1897-09-10,1962-07-09,46
54,Simone,de Beauvoir,シモーヌ・ド・ボーヴォワール,France,1908-01-09,1986-04-14,5
55,Samuel,Beckett,サミュエル・ベケット,Ireland,1906-04-13,1989-12-22,3
56,Émile,Benveniste,エミール・バンヴェニスト,France,1902-05-27,1976-10-03,3
57,Georges,Bernanos,ジョルジュ・ベルナノス,France,1888-02-20,1948-07-05,13
58,Thomas,Bernhard,トーマス・ベルンハルト,Austria,1931-02-09,1989-02-12,60
59,Enki,Bilal,エンキ・ビラル,France,1951-10-07,,14
60,Maurice,Blanchot,モーリス・ブランショ,France,1907-09-22,2003-02-20,11
61,Heinrich,Böll,ハインリヒ・ベル,Germany,1917-12-21,1985-07-16,70
62,Jorge Luis,Borges,ホルヘ・ルイス・ボルヘス,Argentina,1899-08-24,1986-06-14,12
63,Mikhail,Bulgakov,ミハイル・ブルガーコフ,Russia,1891-05-15,1940-03-10,5
64,Pierre,Bourdieu,ピエール・ブルデュー,France,1930-08-01,2002-01-23,36
65,Bertolt,Brecht,ベルトルト・ブレヒト,Germany,1898-02-10,1956-08-14,83
